,text,label,label_name
39,i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,3,anger
40,i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,0,sadness
41,i feel reassured that i am dealing with my diet in the right way and that all is good,1,joy
42,i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,0,sadness
43,im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,1,joy
44,im feeling really out of place and irritated,3,anger
45,i also know that i feel nothing than a friendly affection to them too,1,joy
46,i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,1,joy
47,im feeling insecure at the moment,4,fear
48,i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,4,fear
49,i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,0,sadness
50,i feel a little nervous i go to the gym,4,fear
51,i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,1,joy
52,i can t stop the anxiety i feel when i m alone when i ve got no distractions,0,sadness
53,im trying to feel out my house style now that im living on my own and have creative carte blanche,1,joy
54,i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,0,sadness
55,i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,0,sadness
56,i have a good feeling about this so i am excited,1,joy
57,i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,0,sadness
58,i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,3,anger
59,i woke up yesterday monday morning feeling a little depressed,0,sadness
60,i feel so embarrassed,0,sadness
61,i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,1,joy
62,i can honestly say that after each sistahs chat i feel invigorated and blessed,1,joy
63,i still feel stupid to be in that class this is all cause off pbss fault,0,sadness
64,i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,5,surprise
65,i admit im feeling a little bit unloved at this point,0,sadness
66,i feel a bit stressed even though all the things i have going on are fun,3,anger
67,im feeling pretty anxious,4,fear
68,i feel shocked and sad at the fact that there are so many sick people,5,surprise
69,i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,1,joy
70,i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,5,surprise
71,i can feel that they are kind friendly and can understand my feelings,1,joy
72,i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,3,anger
73,i feel transcendant and splendid,1,joy
74,i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,0,sadness
75,i am feeling totally relaxed and comfy,1,joy
76,i feel privileged in my world,1,joy
77,i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,3,anger
78,i realized my mistake and i m really feeling terrible and thinking that i shouldn t do that,0,sadness
79,i suppose i feel too trusting sometimes,1,joy
80,i came home waiting for the shower read something which made me upset thats why i feel discontent haha,0,sadness
81,i woke up feeling crappy tired and fighting this feeling all day maybe it is all the pollen the barometric pressure i dont know i know i was off kilter,0,sadness
82,i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,1,joy
83,i am feeling so happy,1,joy
84,i am running at an approximate minute pace which i feel is quite acceptable,1,joy
85,i feel so disappointed when my ex girlfriend doesn t call me back,0,sadness
86,i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me,1,joy
87,i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,4,fear
88,i just plain feel envious of the self confidence they had,3,anger
89,i was feeling weird the other day and it went away about minutes after i took my metformin,4,fear
90,when a friend dropped a frog down my neck,3,anger
91,im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,3,anger
92,i lay in bed feeling as though i were awaiting an unwelcome visitor nevertheless i told myself i was strong and thought of good things until i felt better,0,sadness
93,i feel my heart is tortured by what i have done,3,anger
94,i was still feeling weepy and strung out so maggie treated me to ice cream and a movie a href http www,0,sadness
95,i feel needy but comfortable with it i feel vulnerable but secure i feel the urge to cum hard but i get no relief,0,sadness
96,i journaled about my tendency to sometimes overcommit myself which can make me feel exhausted and overwhelmed,0,sadness
97,i started out feeling discouraged this morning,0,sadness
98,i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,4,fear
99,i grab it from the air its smooth frame feels cold to the touch,3,anger
100,i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,3,anger
101,i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall,1,joy
102,i do exercise i feel energetic and i am able to perform my other tasks in a very good manner,1,joy
103,i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,4,fear
104,im feeling pretty disheartened by the whole thing,0,sadness
105,i feel that an input from me will be valued as being less potent than say that of irfan pathan,1,joy
106,i even feel a little shaky,4,fear
107,i am feeling better though i dont sound it,1,joy
108,i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,0,sadness
109,i feel our world then was a much more innocent place,1,joy
110,i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,1,joy
111,im not feeling anything suspicious really,4,fear
112,i was feeling a little sentimental today,0,sadness
113,i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,1,joy
114,i feel less whiney since the sun came out here in the sf area,0,sadness
115,made a wonderfull new friend,1,joy
116,i feel almost embarrassed to mention the single redshank and common sandpiper but there again who would not want to mention the lone wood sandpiper present at the waters edge,0,sadness
117,i know its easy to feel a little envious of me and i cant tell you that you shouldnt,3,anger
118,i would feel awful if she was here this whole time,0,sadness
119,i feel like we are doomed us humans,0,sadness
120,i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,4,fear
121,i got the sleep but if i could choose not to be woken up by an alarm i d definitely take that over anything it makes me feel so groggy,0,sadness
122,ive been boring for few weeks and feeling a bit gloomy cause of the rainy days,0,sadness
123,i feel that this information is vital to moving on with your day and you re not complete until you read it,1,joy
124,i will feel awkward about just calling up one of these people out of the blue to hang out or rather to be familiar with them on a deeper level they are not my kith and kin,0,sadness
125,i don t like the feeling i get when someone is even a little bit offended by some offhand remark i ve made,3,anger
126,i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,3,anger
127,i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,1,joy
128,i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,4,fear
129,i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,3,anger
130,i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,0,sadness
131,i feel radiant bright accomplished and happy,1,joy
132,i feel refrigerator magnets that were so popular a few years ago,1,joy
133,i am feeling very touch deprived with all that has been happening,0,sadness
134,i am feeling apprehensive about it but also wildly excited,4,fear
135,i was feeling pretty relaxed by the time i boarded the very new looking airbus and headed into the hazy sky en route to honolulu,1,joy
136,i am a quiet person but what i have to say i feel is important,1,joy
137,i think i started to feel a little homesick,0,sadness
138,i am feeling eager to start doing some work the man who works there literally says so uhm you guys want to go in back and see if we can find anything to do,1,joy
139,i feel uncomfortable since i have a smaller rib cage and a bigger chest either i am spilling over the top of the tank or the elastic band support is too tight or too loose,4,fear
140,im feeling reluctant to exit my freshly cleaned apartment which i stayed up cleaning late last night,4,fear
141,im feeling rather angsty and listless,0,sadness
142,i was so uncomfortable and feeling weird feelings but wasn t sure if they were contractions since i never really felt contractions with jared until they jacked me up with pitocin,5,surprise
143,i feel gloomy and tired,0,sadness
144,i really like this person feel that the question was really asked out of a sincere place of love and concern about how to move forward in light of what the sexuality study recently a href http www,1,joy
145,i would force myself to eat my normal routine clean meals a day but then i just started feeling so awful,0,sadness
146,i feel rather privileged to have witnessed the great man in action it really was impossible for a novice like me to work out just which one of the four identical looking riders was he,1,joy
147,i feel like im at the spa getting a wonderful facial when i use them,1,joy
148,i feel petty all of a sudden,3,anger
149,i hope you like this more honest amp raw blog post amp if you are feeling unhappy i hope this makes you feel less alone,0,sadness
150,i feel slightly disgusted as well,3,anger
151,i was quite surprised with the weather these past few days but im so thankful for that since i still can wear my shorts out without feeling that cold yes no kidding,3,anger
152,i feel slightly relaxed being a,1,joy
153,i feel shy to admit that i was struggling to haul a single computer up,4,fear
154,i just went about my script of would you like mustard or sauce with that and started to feel really startled,4,fear
155,i enjoy my colleagues i m not feeling very sociable today,1,joy
156,i have had no interest at all to make any effort to meet men and when the chance arrises i then feel burdened with negative thoughts of he ll just be another idiot only after one thing,0,sadness
157,i feel impatient i just post a blog entry and i feel ive gotten some words written and out into the world,3,anger
158,i am trying my hardest so i can get to a place where i can join you and finally feel like i have something worthwhile to say,1,joy
159,i have to admit i feel amused when i see the pti jamiat and a whole lot of others in the media try to avoid the suggestion that they are actually protesting the use of sharia in the case of raymond davis s release,1,joy
160,i feel embarrassed that it got so bad,0,sadness
161,im feeling really bitter about this one,3,anger
162,i feel brave today heading to amman and beirut by way of istanbul or i feel brave today a href http jessicadickinsongoodman,1,joy
163,i had a fab christmas and an amazing new year with my family and friends and against all odds i feel very optimistic about,1,joy
164,i feel like a loser everyone says they lost but i dont i know exactly where i am i just hate being here oh,0,sadness
165,i feel defeated but others i feel refreshed,0,sadness
166,i was feeling particularly vulnerable in a specific area so i began to talking to my friends and interestingly enough there was an incredible understanding of my struggle,4,fear
167,i go onto the officer down memorial page and reflect on my feelings about that wonderful officer which seems to make me feel a little better,1,joy
168,im with a group of people i still feel isolated and on the outside looking in,0,sadness
169,i feel terrified because my landlord has not changed our locks yet,4,fear
170,i am loosing out but i feel like i have have so much to share with many and if anything that is not unfortunate if anything it makes me grateful,0,sadness
171,i don t like eating meals that feel too virtuous,1,joy
172,i left feeling pretty thrilled for the opportunity to at least throw my name in the hat,1,joy
173,i feel kinda weird when andrea tries to talk to me about chris,4,fear
174,i loved about ellie is that she didnt feel insulted by all the rude douche baggy things lothaire said to her because according to ellie insults only hurt when they come from somebody you respect damn straight,3,anger
175,i feel was pretty triumphant,1,joy
176,im enjoying my solitary confinement at home i rarely feel lonely,0,sadness
177,i am being over dramatic but i do feel very strongly for her and i am resolved to speak with her next chance i get,1,joy
178,i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,3,anger
179,i feel so lousy but i shouldnt be focusing on me now,0,sadness
180,i cant remember ever feeling so exhausted it took trips with the car on the last day to get everything brought to the trailer,0,sadness
181,i wrote two years ago so many things i feel unsure of maybe,4,fear
182,i feel suspicious of informality and a lack of credentials,4,fear
183,i receive every month make me proud and feel appreciative,1,joy
184,i feel that third situation pretty much sums up my feelings toward this title,1,joy
185,i wanted to feel him in my hands and reached out to take him into my waiting eager mouth,1,joy
186,i feel more creative,1,joy
187,i feel so talented i can use a computer,1,joy
188,i feel unfathomably rich in having had a healthy pregnancy so far,1,joy
189,i don t want them to feel so pressured,4,fear
190,i still feel frightened of the world yet no where near as much as i used to,4,fear
191,im not feeling mellow,1,joy
192,i wake too early so i feel grumpy,3,anger
193,i believe you all will come to my work place and just try to make me feel humiliated but you know what deep down in my heart i know who is the one who should be ashamed of themselves,0,sadness
194,i did finally get it if you didn t laugh left me feeling delighted exhausted and just so privileged,1,joy
195,i was remembering this i was feeling skeptical,4,fear
196,i have some pretty brazen goals and each day i feel stronger and more confident that i m going to reach my desired end result,1,joy
197,i feel dirty talking to people for my personal gain,0,sadness
198,i sat there cold i flashed back to going to the hockey city classic and the degree weather and it feeling just as cold even though there was about a degree difference this night,3,anger
199,i feel numb as i carry on and i wonder if i will get over it,0,sadness
200,i was somewhat coerced into this blog review so i feel a bit rushed and flustered,3,anger
201,i guess i wont feel too jealous since i often do my mothering at the pool but its nice to have a husband again,3,anger
202,im not sure how i feel about needing to exercise so as to maintain a pleasant demeanor,1,joy
203,i feel alarmed,4,fear
204,i think i wanted audiences to feel impressed inspired or entertained when i was on stage,5,surprise
205,i wasnt feeling well yesterday morning afternoon so i just laid in bed and ended up in the all too familiar youtube black hole,1,joy
206,i have these terrible feelings that i hyped myself up to be more talented than i am,1,joy
207,i do take on a half marathon challenge then i will wait and see how the body feels as to whether there will be a pb attempt or a casual kilometre shuffle,1,joy
208,i couldn t help but feel pissed off at both sides of the debate and the unnecessary dichotomy itself,3,anger
209,i feel like i cant be respected if i have self respect because it is so regular to now hate your self,1,joy
210,i am truly unfortunate the majority of the time i m usually drained but i obtain it hard to get from bed i really feel restless and others,4,fear
211,i am feeling rather damaged,0,sadness
212,i said i feel ugly today,0,sadness
213,i left my garmin on my bike so i was going to have to do this by feel coming out of transition its amazing hearing cheers and your adrenaline is just going crazy,1,joy
214,i feel so smart when i find ways to trick myself like this,1,joy
215,i love to dance but often feel inhibited by my own body unsure what i am capable of hyper concerned about other people watching me and having opinions on my style or just feeling awkward as if i have no idea what i am supposed to do here,4,fear
216,i feel like cards are the perfect thing to make with them,1,joy
217,i feel like some heroine of some tragic manga,0,sadness
218,i just feel safer than working part time casual at hr,1,joy
219,i was ambushed again it was apparently my fault again i feel worthless,0,sadness
220,i feel privileged to be a part of something so eternal and so precious to the lord jesus he shed his blood so that churches like this could exist,1,joy
221,i feel wholly inadequate to the task before me,0,sadness
222,i see you on the pitchers mound at our little league diamond i feel so anxious for you because it looks so isolated over there,4,fear
223,i feel like i am joining the masses which goes against my rebellion of the popular mentality ha i m so goth but i take peace in knowing that i am not making the same resolutions as everyone else,1,joy
224,i feel disillusioned with the occult so i have come to feel a greater connection to the earth,0,sadness
225,i feel stupid whenever this happens,0,sadness
226,i come home and feel so shitty i cant bring myself to do all the work i need to do,0,sadness
227,i feel like my irritable sensitive combination skin has finally met it s match,3,anger
228,i like it though its very over the top but makes me feel clever by association,1,joy
229,i will practice meditation if i feel overwhelmed and hopefully become successful in peaceful practice,5,surprise
230,i feel like it was all in vain cant be right and feel this wrong this heart of mine is just,0,sadness
231,i hope everyone can help with charity work without feeling stressed about such things,0,sadness
232,i feel so guilty for putting my child in daycare,0,sadness
233,i get frustrated that unresolved issues from my past have had a severe negative effect on my behavior and feel he must be angry that i have not resolved them by now,3,anger
234,i feel devastated over things that i have lost i will remind myself to be grateful for what i still have,0,sadness
235,im feeling energetic,1,joy
236,i have come to understand that feelings are neither positive nor negative,1,joy
237,i just don t like to be asked about the reason behind my mood when i m feeling gloomy laughs,0,sadness
238,i feel really bothered about the lack of time i get to find inspiration,3,anger
239,i used to be able to hang around talk with the cashier when i was putting away my money now i feel rushed and stressed if i take a second to fumble with the coins and put them in my purse,3,anger
240,i feel frustrated or the world around me lies shattered i just go and walk in the rain so that no body could see my eyes full of tears this is the delivery system of justice as conceptualized by our courts which we are learning the hard way,3,anger
241,i realized what i am passionate about helping women feel accepted and appreciated,1,joy
242,i could change the emphasis and say i am stella and i m noticing i m feeling impatient,3,anger
243,i don t like outsourcing because i m a picky sod and usually end up feeling dissatisfied with the work of others but i have to force myself to outsource because you need to realize you can t do everything yourself,3,anger
244,i do feel welcomed but it s a little weird,1,joy
245,i feel like i entertained sd all day,1,joy
246,ive struggled mightily through today and even though i feel cranky and tired and unmotivated still i really am not going to be going to sleep before eleven thirty,3,anger
247,i remember sitting out on the porch feeling drained and alone even as sunlight bathed my hair in warm radiance and a light breeze cooled my cheeks,0,sadness
248,i didnt feel i rushed things dhawan tweet script type text javascript src http platform,3,anger
249,i realized i was feeling really irritated while i was saying that,3,anger
250,i am balancing on my hands with my feet hanging over and it feels like pretty far and im terrified to let them drop but im totally calm at the same time hanging here,4,fear
251,i feel so fucking worthless,0,sadness
252,i feel like a lot of men are royally fucked up and go through life wreaking havoc and end up destroying themselves in the process,3,anger
253,i feel devastated that my art style can be copied,0,sadness
254,i feel fine about feeling well fine,1,joy
255,i can only begin to feel how distraught she must be,4,fear
256,i also didnt feel i could be mad at god because i know inside me that god does nothing without a purpose,3,anger
257,i think we were both feeling a little drained from work as well,0,sadness
258,i gather supplies and start to check her progress via internal exam the head midwife prepares to start an iv and calmly asks others for more assistance i feel reassured by her calmness,1,joy
259,i feel crappy i eat crappy,0,sadness
260,i feel more of numb now,0,sadness
261,i feel extremely honoured to have received such a prestigious award,1,joy
262,im feeling adventurous and successful in my quest so far,1,joy
263,i feel so thrilled to have three such distinguished individuals such as yourselves here,1,joy
264,i was left feeling empty,0,sadness
265,i feel pretty much like this scene from a href http www,1,joy
266,i may not have really been feeling superior but i certainly was feeling that i had the answers wasnt i,1,joy
267,i just feel are ludicrous and wasting space or so trite they should have looked at the book first and come up with something a little more original,5,surprise
268,i feel like a wimpy canoe floating towards a rising tsunami,4,fear
269,i start to feel unloved and unappreciated,0,sadness
270,i feel strange talking about less serious things right now like cooking,4,fear
271,i sometimes have urges to just freak out because i feel so bothered and usually nothing has caused me to feel bothered or irritated i scratch my arms when i m mad,3,anger
272,i feel miserable and he doesnt care,0,sadness
273,i am not surprised cause its like ok when you feel crappy and it just continues for like days or so you really try to avoid getting that sickness again,0,sadness
274,im feeling slightly irritable today,3,anger
275,i like to add things that i already completed in my day to a new list just to feel more productive when i cross them off,1,joy
276,i always feel rushed during these emails which i dont like but asa este,3,anger
277,i feel like i should be supporting them somehow but im not sure how,1,joy
278,i have a lot going on in my life and feel overwhelmed,4,fear
279,i took for granted a few weeks ago is really weird and makes me feel really agitated and frustrated,3,anger
280,i know what you mean about feeling agitated,4,fear
281,i am feeling pressured to blog the bad,4,fear
282,i feel like being sociable and just aaaah,1,joy
283,i didnt feel at all deprived having it in my chai this morning,0,sadness
284,i was feeling very unsure of myself and at near breaking point,4,fear
285,i remember leaving church feeling invigorated every sunday and tuesday night,1,joy
286,i will nolonger tell anybody how i feel or what im thinking cause all it seems to do is get me more hated than i already am,0,sadness
287,i asked her what she meant by shes gonna feel jealous having loada of girls over me and then she said maybee i do like you a bitt,3,anger
288,i feel all funny sometimes,5,surprise
289,i am feeling crampy and cranky,3,anger
290,i indicated then i was feeling quite overwhelmed with work responsibilities teaching traveling and writing,4,fear
291,i just say that i am not even feeling embarrassed when i pause and rewind my dvred commercials if the breaking dawn preview comes on,0,sadness
292,i spend a lot of time feeling disappointed with myself for not doing a better job at attaining my goals,0,sadness
293,i feel stressed but i love the feeling of the calming spirit of my heavenly father and the feeling to keep working,0,sadness
294,i feel more thankful being greeted by many friends and families,1,joy
295,i no longer feel doomed to falling into the abyss with no way out,0,sadness
296,i bought it at urban outfitters so it could fit mm film and have been feeling remorseful ever since,0,sadness
297,ive a feeling briar beagle would give me one of her disgusted looks if i even tried exercising her in these souless surroundings,3,anger
298,i just need to accept to be treated like a princess everyday without feeling dumb about the situation,0,sadness
299,i just got up from a nap feeling really rotten so exhausted that i feel like i could just wilt onto the floor just sitting here,0,sadness
300,i feel very indecisive about it,4,fear
301,i feel if the pressure vessel has been seriously damaged then far more radiation would have leaked he said,0,sadness
302,i have better things to do than to feel humiliated,0,sadness
303,ive been feeling a bit melancholy,0,sadness
304,i believe that feeling accepted in a non judgemental way can be healing,1,joy
305,i do feel stressed,0,sadness
306,i feel benevolent enough to buy them some peanuts and other treats,1,joy
307,i feel fine class pin it button count layout horizontal pin it,1,joy
308,i feel so worthless and useless these past weeks just because im a certified by stander at home,0,sadness
309,i feel immensely distracted by the barrage of media i receive solicit,3,anger
310,i love and captured an atmospheric feeling in their landscapes that really impressed me,5,surprise
311,is hand started fondling his aching cock through the fabric of his boxers and he instinctively arched his back to feel more of the delicious sensation,1,joy
312,i am feeling energized productive and creative,1,joy
313,i am feeling lucky to have him,1,joy
314,i feel is vital to keeping my spirit young even as my body fades,1,joy
315,i feel agitated and annoyed more than worried or fearful but these feelings can easily lead to being short tempered with my family and feelings of disharmony,4,fear
316,i still feel scared every time i go into a strange place,4,fear
317,i don t feel the author s talented,1,joy
318,i feel so jaded and bored,0,sadness
319,im pretty sure and its been about a week and a half so although im feeling kind of betrayed and disillusioned by men at the moment everythings okay,0,sadness
320,i feel like ive lost my mind,0,sadness
321,i could feel his breath on me and smell the sweet scent of him,1,joy
322,i could just take my beliefs and feelings and lock them in a safe somewhere until i get my human life squared away i and just about everyone i know would be a lot happier or perhaps not,1,joy
323,ive feeling a little blank and could think of nothing to write about which might be interesting to explore or had my mind captivated,0,sadness
324,i feel as the sleep drained from my head i sat up my dog nudging me for affection my wife too has been wanting affection,0,sadness
325,i feel to aid other women with infertility disorders this valuable individual guidance is offered for a restricted number of people,1,joy
326,i remember feeling envious but then why would a young healthy person envy someone who s just barely survived,3,anger
327,im still feeling very emotional,0,sadness
328,im in that last bit of sleep before i get up in the morning i feel like that emotional energy just waits for me,0,sadness
329,i know nothing is going to change even i feel very envious to these people but i cant stop feeling jealous to these people because its a human beings instinct to act so,3,anger
330,im happy i feel out of energy and not very inspired to do my crafts,1,joy
331,i was struck by the masculine feel of the strong graphics and deep colors in this months painting nighthawks by edward hopper,1,joy
332,i think it s the opposite i get to feel defeated because i was doing everything possible to keep baby healthy and my sugars in check,0,sadness
333,i am trying not to feel bitter but how else can i feel when it seems my desire is pretty much impossible,3,anger
334,i just feel totally useless today,0,sadness
335,i feel honored to receive the grassroots preservation award,1,joy
336,i feel contented just hearing him said that hellip,1,joy
337,i am reminded of pavement yurusei yatsura and coheed and cambria without feeling offended that they have ripped them off,3,anger
338,i feel no positive regard,1,joy
339,im feeling a lot less ugly duckling and a lot more a href http,0,sadness
340,i suppose if one was feeling generous one could say i was stressed by the elevator ride,1,joy
341,im feeling kind of melancholy and really want to go home and cuddle up with my boys,0,sadness
342,i feel like the people that i myself love want and need don t talk to me and don t connect with me anymore because they have fucked up mental health and emotional problems that i can t help contribute contain understand or encompass,3,anger
343,i feel that the suffering is more than i can bear i take refuge in the lord in the blessed sacrament and i speak to him with profound silence,0,sadness
344,i feel afraid agn lol whats new,4,fear
345,i am writing and sharing here is much more about my own story and what i believe with all my heart the world needs to know the riches we have in god than me feeling angry towards or trying to bash the people and leaders and parents,3,anger
346,im feeling dazed and alot of things in my mind,5,surprise
347,i feel so scared when the voices from there start to speak to me,4,fear
348,i feel very honoured to have been part of the bond family and very much hope i have a chance to work with them again sometime in the future,1,joy
349,i feel insulted pete edochie responds to death,3,anger
350,i feel but not to such a hostile extent,3,anger
351,i always feel so pressured,4,fear
352,i electrocuted my thumb and i cant type too well because i cant really you know feel some of my fingers as an acceptable excuse for a late paper,1,joy
353,i carried my phone in my pocket and didn t feel the pull to get lost in it,0,sadness
354,i sit here writing this i feel unhappy inside,0,sadness
355,i get disappointed it makes me feel so rejected especially being disappointed by a loved one,0,sadness
356,i left there feeling brow beaten,0,sadness
357,i am feeling vulnerable nervous worried anxious and a bit lost,4,fear
358,i was feeling defeated i usually pick things up easily this way but i just wasn t getting it,0,sadness
359,i am most certainly an acquired taste but lately many of those around me have seemed to feel the taste to be bitter,3,anger
360,i feel i am rich because my life both real and online is filled with friends and family with whom i would not want to live without,1,joy
361,i feel bad saying this because i should be happy but i dont think this way that im going is for me anymore,0,sadness
362,ive been feeling afraid a lot lately,4,fear
363,i see momo feel shy momo hmmm gt me heyy momo,4,fear
364,i feel amused looking at the little turtle who sneaked in with them,1,joy
365,i purple month doesnt feel surprised in fact zhuo feng up many pupils all clear xiao her identity dont even say main star feng of young,5,surprise
366,i feel like there is no way out being humiliated by asa a guy i was obssessed about who played an embarrassing joke on me getting caught by tabbys wife tabby is a lover i once had who was married and i blindly fell in love with him,0,sadness
367,im thankful because i feel somewhat energetic instead of the dead fish that i would become every time every chemo,1,joy
368,i feel so honored today and i want to share the emotion and my gratitude because i received a very complimentary email from someone who reads thought provoking perspectives,1,joy
369,ive tried bare minerals but it makes me feel like my face is dirty,0,sadness
370,i feel quite passionate about and that is how old should children be to undergo beauty treatments,1,joy
371,i feel like i m going to struggle and fail and suffer and be really dumb,0,sadness
372,im feel a little bit shy to talked to her for a second but manage myself because i saw from her eyes that theres something with this girl,4,fear
373,i love that this is a place a series with no real heroes and i love that the way the couples in these books fall in love feels just as violent and crazy as the place that they call home,3,anger
374,i will feel more lively and full of bounce,1,joy
375,i am and always have been a very sincere nice feeling sociable compassionate helpful girl,1,joy
376,i feel like an obnoxious nagging call times everyday tag alonger that he is finally sick of tolerating and is now just giving the cold shoulder,3,anger
377,i loved the feeling i got during an amazing slalom run whether it was in training or in a race,1,joy
378,i was feeling especially shy and awkward because i didn t know many people there,4,fear
379,im still feeling a little groggy from the lack of sleep so i shall try to replenish it,0,sadness
380,i have been sitting at home revising today and all in all feeling quite stressed,3,anger
381,i guess feelings aren t meant to be inhibited or prohibited,4,fear
